Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,4.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
2,8.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
3,13.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
4,17.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
5,22.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
6,26.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
7,31.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
8,36.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
9,41.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
10,46.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
11,51.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
12,56.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
13,60.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
14,65.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
15,70.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
16,74.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
17,79.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
18,84.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
19,89.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
20,94.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
21,99.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
22,104.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
23,108.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
24,113.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
25,117.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
26,122.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
27,127.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
28,131.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
29,136.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
30,141.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
31,145.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
32,150.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
33,155.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
34,159.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
35,164.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
36,168.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
37,173.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
38,178.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
39,182.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
40,186.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
41,191.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
42,196.00,32.15820159,119.93995323,32.15560000,119.92900000,32.15560000,119.92900000,0.4167,1071.62,1,85,split,5,1,-1,4700.06,4700.06,4700.06
43,200.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
44,205.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
45,209.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
46,214.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
47,218.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
48,223.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
49,228.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
50,232.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
51,237.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
52,241.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
53,245.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
54,250.00,32.15560000,119.92900000,32.15560000,119.92900000,32.15560000,119.92900000,0.0000,0.00,0,-1,split,0,0,-1,,,
