Time_Sec,ax,ay,az,gx,gy,gz
0.000000,0.39528980851173406,0.3453182578086853,-9.890688896179201,-0.010155142284929754,0.03162622824311257,-0.004024803638458252
0.000089,0.4318498075008393,0.3984747529029846,-9.803691864013672,-0.01566559076309204,0.005544722545892001,-0.00855475664138794
0.004358,0.4872698187828064,0.3141672313213349,-9.71067523956299,-0.016748905181884766,0.013382733799517156,-0.0014543534489348533
0.004447,0.4438941478729248,0.20041590929031372,-9.743293762207031,0.011314451694488525,0.003026426071301103,0.008346140384674072
0.010272,0.43626660108566284,0.2758077383041382,-9.81849479675293,-0.010974705219268799,0.004170835018157959,0.0018283725949004295
0.010355,0.4584486484527588,0.3970053195953369,-9.880187034606935,-0.017474591732025146,-0.0017374755116179588,-0.005283951759338379
0.014494,0.4934303462505341,0.33136314153671265,-9.77048110961914,-0.005440413020551205,-0.0020310280378907923,0.008644162677228453
0.014562,0.42843037843704224,0.16335907578468323,-9.638947486877443,-0.014439226128160955,0.006234645843505859,0.0070676212199032315
0.020000,0.4164363145828247,0.1555391997098923,-9.849813461303711,-0.006332993973046542,0.011478365398943426,8.493661880493164e-05
0.020068,0.4170147776603699,0.2847214341163635,-9.882266998291016,0.004138052929192782,0.012405218556523323,0.008727611042559149
0.024450,0.4081176519393921,0.2892267107963562,-9.765639305114748,-0.007033348549157382,0.004966557025909424,0.0036582350730895996
0.025210,0.4211017787456513,0.14777772128582004,-9.730445861816406,0.01176297664642334,-0.0010281802387908103,0.0056803226470947266
0.029862,0.3901414573192597,0.08320503681898118,-9.745260238647461,-0.005441903602331878,0.00256896042264998,0.010730326175689697
0.029960,0.42138463258743286,0.23105493187904358,-9.848769187927248,-0.0060126190073788175,0.007024407386779785,-0.004263222683221103
0.034866,0.43721786141395574,0.30399140715599066,-9.839447021484375,-0.005260110367089511,-0.01621245965361595,-0.008644161745905876
0.034937,0.45024743676185613,0.2260279357433319,-9.780901908874513,-0.000838935375213623,-0.005884469021111728,-0.019837915897369385
0.040706,0.40373820066452026,0.07760833948850633,-9.745323181152344,0.014790892601013184,0.008223950862884521,-0.017572937533259395
0.041146,0.4017311036586762,0.1326895505189896,-9.799673080444336,0.005747376941144466,0.0006586313829757274,-0.00734478235244751
0.045134,0.39501014351844793,0.2748476266860962,-9.92234992980957,0.01309812068939209,0.002621114486828447,-0.0017464162083342674
0.045218,0.41317540407180786,0.2605416774749756,-9.83218288421631,-0.0009447337361052632,-0.003048778278753162,-0.01004338264465332
0.049438,0.3828234970569611,0.12733882665634155,-9.74819087982178,0.010508299805223944,-0.022073091939091686,-0.011667609214782715
0.049510,0.36955881118774414,0.1273120641708374,-9.728670120239258,0.011464951559901237,-0.009696184657514097,-0.014197824522852898
0.054970,0.3818728625774384,0.2156779617071152,-9.891503334045412,0.015361606143414976,0.003521143924444914,-0.021807849407196045
0.055076,0.3666061758995056,0.3169681429862976,-9.86682987213135,-0.00032335519790649414,0.0038623807486146693,-0.020119544118642807
0.059443,0.4040260910987854,0.28823572397232056,-9.73508071899414,-0.016535820439457897,-0.008872150443494322,-0.020149346441030502
0.059541,0.4128292202949524,0.12064708769321442,-9.780257225036623,0.0017955900402739646,0.0009074807167053223,-0.009174645878374578
0.065132,0.3971026241779328,0.20412439107894897,-9.851287841796875,-0.007142126560211182,0.009250641800463201,-0.0053197150118649015
0.065218,0.37716948986053467,0.34633052349090576,-9.90449619293213,0.011892614886164665,0.006575882900506259,-0.01913905143737793
0.070368,0.40610992908477783,0.3105760514736176,-9.846214294433594,-0.01180470082908869,-0.006674230564385653,-0.019185245037078857
