Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank,Top1_Min_Dist_M,Top5_Min_Dist_M,Top10_Min_Dist_M
1,7.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
2,14.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
3,21.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
4,28.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
5,36.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
6,43.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
7,50.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
8,57.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
9,64.00,32.33891781,119.86211621,32.30460000,119.89700000,32.30460000,119.89700000,0.4167,5036.16,1,1241,split,5,1,-1,4257.11,4257.11,4257.11
10,71.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
11,79.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
12,86.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
13,93.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
14,100.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
15,108.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
16,115.00,32.29025881,119.81169333,32.30460000,119.89700000,32.30460000,119.89700000,0.4167,8182.12,1,3,split,5,1,-1,7202.81,7202.81,7202.81
17,122.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
18,130.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
19,137.00,32.35016962,119.83928131,32.30460000,119.89700000,32.30460000,119.89700000,0.4400,7430.64,1,1501,split,6,1,-1,5559.06,5559.06,5559.06
20,144.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
21,152.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
22,159.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
23,166.00,32.34941860,119.83911626,32.30460000,119.89700000,32.30460000,119.89700000,0.3933,7385.26,1,1501,split,4,1,-1,5127.97,5127.97,5127.97
24,174.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
25,181.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
26,189.00,32.34947224,119.83877347,32.30460000,119.89700000,32.30460000,119.89700000,0.4167,7413.09,1,1501,split,5,1,-1,4869.11,4869.11,4869.11
27,196.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
28,204.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
29,211.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
30,218.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
31,225.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
32,233.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
33,240.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.0000,0.00,0,-1,split,0,0,-1,,,
