Frame,Time_Sec,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Best_Match_Idx,Algorithm,Inliers,Measurement_Valid,Correct_Candidate_Rank
1,7.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.3000,0.00,0,-1,orb,0,1,-1
2,14.00,32.32225469,119.84932177,32.30460000,119.89700000,32.30460000,119.89700000,0.4167,4896.82,1,830,orb,5,1,-1
3,21.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.3000,0.00,0,-1,orb,0,1,-1
4,28.00,32.30460000,119.89700000,32.30460000,119.89700000,32.30460000,119.89700000,0.3000,0.00,0,-1,orb,0,1,-1
5,36.00,32.30496438,119.83949714,32.30460000,119.89700000,32.30460000,119.89700000,0.4400,5409.49,1,376,orb,6,1,-1
6,43.00,32.30767786,119.84321021,32.30460000,119.89700000,32.30460000,119.89700000,0.4867,5071.63,1,467,orb,8,1,-1
7,50.00,32.30828940,119.89117006,32.30460000,119.89700000,32.30460000,119.89700000,0.5800,685.16,1,490,orb,12,1,1
8,57.00,32.30868637,119.89034481,32.30460000,119.89700000,32.30460000,119.89700000,0.5100,773.87,1,490,orb,9,1,1
9,64.00,32.29433485,119.83325862,32.30460000,119.89700000,32.30460000,119.89700000,0.4867,6104.12,1,103,orb,8,1,-1
10,71.00,32.29970326,119.81036712,32.30460000,119.89700000,32.30460000,119.89700000,0.4400,8167.83,1,227,orb,6,1,-1
11,79.00,32.29940285,119.80977041,32.30460000,119.89700000,32.30460000,119.89700000,0.4633,8226.13,1,227,orb,7,1,62
12,86.00,32.29524098,119.85697537,32.30460000,119.89700000,32.30460000,119.89700000,0.4400,3906.63,1,159,orb,6,1,-1
13,93.00,32.29380914,119.81121776,32.30460000,119.89700000,32.30460000,119.89700000,0.4400,8158.52,1,92,orb,6,1,-1
14,100.00,32.32489889,119.86058687,32.30460000,119.89700000,32.32489889,119.86058687,0.3933,4103.60,1,880,orb,4,1,-1
15,108.00,32.31253711,119.84906785,32.32489889,119.86058687,32.32489889,119.86058687,0.4633,1751.54,1,560,orb,7,1,2
16,115.00,32.35089336,119.83525772,32.32489889,119.86058687,32.32489889,119.86058687,0.4400,3748.46,1,1544,orb,6,1,-1
17,122.00,32.34800821,119.87572902,32.32489889,119.86058687,32.32489889,119.86058687,0.4400,2940.57,1,1473,orb,6,1,-1
18,130.00,32.30758712,119.83873538,32.32489889,119.86058687,32.32489889,119.86058687,0.4400,2817.68,1,421,orb,6,1,-1
19,137.00,32.29017298,119.86530186,32.32489889,119.86058687,32.32489889,119.86058687,0.4167,3891.05,1,28,orb,5,1,-1
20,144.00,32.31211868,119.83319514,32.32489889,119.86058687,32.32489889,119.86058687,0.4167,2943.43,1,553,orb,5,1,-1
21,152.00,32.35513033,119.85659449,32.32489889,119.86058687,32.32489889,119.86058687,0.4633,3386.26,1,1644,orb,7,1,-1
22,159.00,32.31015040,119.85111773,32.32489889,119.86058687,32.32489889,119.86058687,0.4400,1867.88,1,516,orb,6,1,45
23,166.00,32.32566554,119.82912077,32.32489889,119.86058687,32.32489889,119.86058687,0.4867,2961.27,1,911,orb,8,1,-1
24,174.00,32.30908825,119.84241036,32.32489889,119.86058687,32.30908825,119.84241036,0.4633,2453.86,1,512,orb,7,1,-1
25,181.00,32.33783420,119.85285021,32.30908825,119.84241036,32.30908825,119.84241036,0.5100,3347.31,1,1237,orb,9,1,-1
26,189.00,32.29958524,119.84711954,32.30908825,119.84241036,32.30908825,119.84241036,0.4633,1146.88,1,244,orb,7,1,-1
27,196.00,32.30614946,119.83978915,32.30908825,119.84241036,32.30908825,119.84241036,0.4400,409.67,1,421,orb,6,1,-1
28,204.00,32.31712231,119.82217127,32.30908825,119.84241036,32.30908825,119.84241036,0.5100,2103.50,1,683,orb,9,1,-1
29,211.00,32.31515403,119.84754432,32.30908825,119.84241036,32.30908825,119.84241036,0.5100,830.18,1,650,orb,9,1,-1
30,218.00,32.29952087,119.82242519,32.30908825,119.84241036,32.30908825,119.84241036,0.4633,2160.74,1,233,orb,7,1,-1
31,225.00,32.31084777,119.84458720,32.30908825,119.84241036,32.30908825,119.84241036,0.4633,283.37,1,513,orb,7,1,-1
32,233.00,32.32128418,119.87109601,32.30908825,119.84241036,32.32128355,119.87109453,0.7667,3020.77,0,796,orb,20,1,1
33,240.00,32.29614220,119.80765705,32.32188199,119.87250209,32.32188199,119.87250209,0.4400,6739.48,1,136,orb,6,1,-1
34,247.00,32.35470118,119.81546300,32.32248042,119.87390964,32.32248042,119.87390964,0.5100,6564.65,1,1625,orb,9,1,-1
35,254.00,32.29009787,119.88446178,32.32307885,119.87531720,32.32307885,119.87531720,0.4400,3770.88,1,37,orb,6,1,-1
36,262.00,32.30692193,119.83890043,32.32376278,119.87692583,32.32376278,119.87692583,0.4633,4038.57,1,421,orb,7,1,-1
37,269.00,32.29193741,119.87908660,32.32436121,119.87833338,32.32436121,119.87833338,0.4633,3610.11,1,79,orb,7,1,-1
38,276.00,32.30243820,119.89205190,32.32495964,119.87974094,32.32495964,119.87974094,0.4633,2761.65,1,356,orb,7,1,-1
39,284.00,32.29149753,119.83358872,32.32564357,119.88134957,32.32564357,119.88134957,0.4400,5885.13,1,58,orb,6,1,-1
40,291.00,32.29055921,119.81002433,32.32624200,119.88275713,32.32624200,119.88275713,0.4400,7911.50,1,2,orb,6,1,-1
41,298.00,32.34061788,119.87247989,32.32684043,119.88416468,32.32684043,119.88416468,0.4400,1886.93,1,1291,orb,6,1,-1
42,306.00,32.30984999,119.89342308,32.32752436,119.88577331,32.30984999,119.89342308,0.4167,2094.98,1,536,orb,5,1,-1
43,313.00,32.31245619,119.85000048,32.30984999,119.89342308,32.30984999,119.89342308,0.3933,4095.09,1,606,orb,4,1,-1
44,320.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
45,328.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
46,335.00,32.29607783,119.86493367,32.30984999,119.89342308,32.30984999,119.89342308,0.4167,3087.55,1,163,orb,5,1,-1
47,343.00,32.31342178,119.86098626,32.30984999,119.89342308,32.30984999,119.89342308,0.4400,3077.15,1,611,orb,6,1,-1
48,350.00,32.32094086,119.81255666,32.30984999,119.89342308,32.30984999,119.89342308,0.3933,7706.70,1,768,orb,4,1,-1
49,358.00,32.30165008,119.81408601,32.30984999,119.89342308,32.30984999,119.89342308,0.4167,7518.91,1,274,orb,5,1,-1
50,365.00,32.30864345,119.81824925,32.30984999,119.89342308,32.30984999,119.89342308,0.4633,7072.94,1,456,orb,7,1,-1
51,372.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
52,379.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
53,386.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
54,394.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
55,401.00,32.32544024,119.82272990,32.30984999,119.89342308,32.30984999,119.89342308,0.5333,6872.89,1,908,orb,10,1,-1
56,408.00,32.33542113,119.89395631,32.30984999,119.89342308,32.30984999,119.89342308,0.4867,2847.02,1,1166,orb,8,1,-1
57,416.00,32.30984999,119.89342308,32.30984999,119.89342308,32.30984999,119.89342308,0.3000,0.00,0,-1,orb,0,1,-1
58,423.00,32.30719015,119.83884964,32.30984999,119.89342308,32.30984999,119.89342308,0.4867,5142.30,1,421,orb,8,1,-1
59,431.00,32.30825722,119.83143727,32.30984999,119.89342308,32.30984999,119.89342308,0.4167,5833.75,1,462,orb,5,1,-1
